Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180,0.0,0.0,0.0003253251787901456,0.0
-179,0.0,0.0,0.00031880421823687975,0.0
-178,0.0,0.0,0.0003209634686027358,0.0
-177,0.0,0.0,0.0003385232045797131,0.0
-176,0.0,0.0,0.0003297247169222577,0.0
-175,0.0,0.0,0.00032606695871811273,0.0
-174,0.0,0.0,0.00033168686200322226,0.0
-173,0.0,0.0,0.0003170760666928071,0.0
-172,0.0,0.0,0.00032380706803672145,0.0
-171,0.0,0.0,0.0003290108878956219,0.0
-170,0.0,0.0,0.0003255000417477943,0.0
-169,0.0,0.0,0.0003248753711180386,0.0
-168,0.0,0.0,0.00033980248474644605,0.0
-167,0.0,0.0,0.00033076388178355766,0.0
-166,0.0,0.0,0.0003278890326988487,0.0
-165,0.0,0.0,0.00033043212102736095,0.0
-164,0.0,0.0,0.0003231836291810217,0.0
-163,0.0,0.0,0.0003460358047694987,0.0
-162,0.0,0.0,0.0003195610038834144,0.0
-161,0.0,0.0,0.0003419614334229111,0.0
-160,0.0,0.0,0.0003203123889633903,0.0
-159,0.0,0.0,0.0003223638809217202,0.0
-158,0.0,0.0,0.00032265473567621663,0.0
-157,0.0,0.0,0.00032206369717983294,0.0
-156,0.0,0.0,0.0003189672733482996,0.0
-155,0.0,0.0,0.00032993988734031317,0.0
-154,0.0,0.0,0.00032112054386745724,0.0
-153,0.0,0.0,0.0003334392907235732,0.0
-152,0.0,0.0,0.0003186587019009059,0.0
-151,0.0,0.0,0.0003249477735990486,0.0
-150,0.0,0.0,0.0003287780284587168,0.0
-149,0.0,0.0,0.0003197915152374702,0.0
-148,0.0,0.0,0.0003296290440263004,0.0
-147,0.0,0.0,0.0003170892515827538,0.0
-146,0.0,0.0,0.00032154786896533924,0.0
-145,0.0,0.0,0.0003247175245791659,0.0
-144,0.0,0.0,0.00032090292264070285,0.0
-143,0.0,0.0,0.0003294811952479081,0.0
-142,0.0,0.0,0.0003290347961203696,0.0
-141,0.0,0.0,0.0003189483824666002,0.0
-140,0.0,0.0,0.00032636954546696757,0.0
-139,0.0,0.0,0.00032220332203069575,0.0
-138,0.0,0.0,0.00033795662937906583,0.0
-137,0.0,0.0,0.00031643021804969183,0.0
-136,0.0,0.0,0.00031982797422274004,0.0
-135,0.0,0.0,0.00032260683774775384,0.0
-134,0.0,0.0,0.0003211188742363402,0.0
-133,0.0,0.0,0.0003217418374585909,0.0
-132,0.0,0.0,0.0003279231163602408,0.0
